Age,S->H,D->H,D->S,H->S,H->D,S->D
92,0.0052545276,0.0000000000,0.0000000000,0.0057204421,0.0019068140,0.0124483438
93,0.0040562847,0.0000000000,0.0000000000,0.0043725462,0.0014575154,0.0104158496
94,0.0030463259,0.0000000000,0.0000000000,0.0032545382,0.0010848461,0.0084688774
95,0.0022202594,0.0000000000,0.0000000000,0.0023352550,0.0007843039,0.0066738555
96,0.0015643734,0.0000000000,0.0000000000,0.0015320919,0.0005549712,0.0050773147
97,0.0010534138,0.0000000000,0.0000000000,0.0010649492,0.0004154560,0.0036862741
98,0.0006859399,0.0000000000,0.0000000000,0.0006826981,0.0002863964,0.0025840523
99,0.0004272105,0.0000000000,0.0000000000,0.0004289024,0.0001931325,0.0017294122
100,0.0002544385,0.0000000000,0.0000000000,0.0002540375,0.0001225361,0.0011045657
101,0.0001439418,0.0000000000,0.0000000000,0.0001442760,0.0000743830,0.0006686385
102,0.0000771114,0.0000000000,0.0000000000,0.0000770412,0.0000423563,0.0003824015
103,0.0000388642,0.0000000000,0.0000000000,0.0000389423,0.0000227778,0.0002052710
104,0.0000183449,0.0000000000,0.0000000000,0.0000183237,0.0000113758,0.0001029562
105,0.0000080472,0.0000000000,0.0000000000,0.0000080681,0.0000053041,0.0000478780
106,0.0000032615,0.0000000000,0.0000000000,0.0000032525,0.0000022592,0.0000205246
107,0.0000012081,0.0000000000,0.0000000000,0.0000012151,0.0000008898,0.0000080237
108,0.0000004064,0.0000000000,0.0000000000,0.0000004022,0.0000003092,0.0000028373
109,0.0000001223,0.0000000000,0.0000000000,0.0000001254,0.0000001009,0.0000008944
110,0.0000000332,0.0000000000,0.0000000000,0.0000000309,0.0000000339,0.0000003316
